epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,1363.93,0.44244,0.30767,0.89034,0.85163,0.78278,0.86072,0.66747,0.83189,0.57645,1.12842,0.0090793,0.0090793,0.0090793
95,1377.57,0.44072,0.30752,0.88574,0.8661,0.76963,0.83127,0.66126,0.87396,0.60396,1.14084,0.0090694,0.0090694,0.0090694
96,1391.14,0.43629,0.30787,0.88983,0.86537,0.80319,0.87165,0.67374,0.84732,0.61029,1.1358,0.0090595,0.0090595,0.0090595
97,1405.14,0.42137,0.31568,0.88359,0.84845,0.80899,0.87301,0.68225,0.80568,0.51387,1.09906,0.0090496,0.0090496,0.0090496
98,1418.67,0.43202,0.30114,0.88156,0.88669,0.77592,0.8924,0.67478,0.86474,0.5369,1.12312,0.0090397,0.0090397,0.0090397
99,1431.99,0.42718,0.31145,0.88719,0.88051,0.80454,0.85029,0.67239,0.83989,0.56482,1.10254,0.0090298,0.0090298,0.0090298
100,1445.67,0.42984,0.29935,0.88165,0.85475,0.8479,0.87258,0.66454,0.86337,0.61252,1.11449,0.0090199,0.0090199,0.0090199
101,1458.88,0.4193,0.2951,0.87883,0.87806,0.80337,0.87809,0.67419,0.82037,0.59095,1.07392,0.00901,0.00901,0.00901
102,1472.54,0.42825,0.30408,0.87911,0.90796,0.77725,0.884,0.66929,0.86599,0.63239,1.12067,0.0090001,0.0090001,0.0090001
103,1486.14,0.43705,0.3072,0.89171,0.93289,0.78191,0.88656,0.68457,0.85413,0.56139,1.13313,0.0089902,0.0089902,0.0089902
104,1499.79,0.4389,0.30693,0.89142,0.87611,0.8371,0.89156,0.68366,0.85845,0.55761,1.13936,0.0089803,0.0089803,0.0089803
105,1513.11,0.43611,0.305,0.88356,0.89106,0.79847,0.86921,0.68254,0.84422,0.63233,1.12214,0.0089704,0.0089704,0.0089704
